施設名,所在地,緯度,経度,電話番号,URL
長房,東京都八王子市長房町341,35.656121,139.297399,042-663-6487,
元八王子（第1第2クラブ）,東京都八王子市弐分方町761,35.669719,139.292013,042-625-6493,
中野,東京都八王子市中野山王3-6-27,35.674575,139.325307,042-624-9561,
北野（第1第2クラブ）,東京都八王子市打越町348-1,35.645793,139.35629699999998,042-645-8588,
川口（第1第2クラブ）,東京都八王子市川口町3974,35.692682,139.282172,042-654-4758,
由木（第1第2クラブ）,東京都八王子市越野692-1,35.62936699999999,139.384379,042-676-8733,
浅川（第1第2クラブ）,東京都八王子市初沢町1323,35.639243,139.28184,042-665-2539,
由井（第1第2クラブ）,東京都八王子市小比企町1201,35.642337,139.327783,042-635-4762,
横山（第1第2クラブ）,東京都八王子市長房町450,35.652769,139.29801899999998,042-661-1299,
上壱分方（第1第2クラブ）,東京都八王子市上壱分方町799-2,35.684822,139.283955,042-652-1891,
寺町（第1第2クラブ）,東京都八王子市寺町29-15,35.655327,139.332232,042-628-5345,
寺田（第1クラブ）,東京都八王子市寺田町432-102,35.622562,139.306264,042-665-7187,
寺田（第2クラブ）,東京都八王子市寺田町405-5,35.62254799999999,139.309986,042-666-6620,
台町（第1第2クラブ）,東京都八王子市台町4-2-1,35.656985,139.324022,042-627-7246,
秋葉台（第1クラブ）,東京都八王子市別所2-12-4,35.62311300000001,139.401747,042-677-8358,
秋葉台（第2クラブ）,東京都八王子市別所2-5,35.624666,139.406619,042-676-1990,
宮上,東京都八王子市南大沢5-20-11,35.609464,139.367576,042-677-4200,
鹿島,東京都八王子市鹿島2,35.633018,139.426711,042-675-0158,
松が谷,東京都八王子市松が谷13,35.629348,139.41393200000002,042-675-0161,
館ヶ丘,東京都八王子市館町1097-57,35.62827,139.287671,042-665-5239,
別所,東京都八王子市別所2-42-7,35.615738,139.394707,042-677-7755,
南大沢（第1第2クラブ）,東京都八王子市南大沢3-8-1,35.607778,139.379528,042-674-0109,
石川（第1第2クラブ）,東京都八王子市石川町1920,35.671723,139.358624,042-648-3366,
清水小（第1第2クラブ）,東京都八王子市中野山王3-25-1,35.676105,139.31946299999998,042-626-4591,
美山小,東京都八王子市美山町1892,35.690933,139.248317,042-652-0297,
南大沢西,東京都八王子市南大沢4-18,35.60823900000001,139.374464,042-679-4312,
千人町（第1第2クラブ）,東京都八王子市千人町3-7-7,35.658743,139.308348,042-662-5673,
久保山（第1第2クラブ）,東京都八王子市久保山町1-20-6,35.685972,139.360243,042-692-2019,
久保山（第3クラブ）,東京都八王子市久保山町2-18,35.686699,139.354188,042-692-5058,
片倉台,東京都八王子市片倉町1318,35.631311,139.346115,042-637-9220,
まつぎ（第1第2クラブ）,東京都八王子市別所1-29-2,35.621149,139.396106,042-676-7241,
下柚木（第1第2クラブ）,東京都八王子市下柚木3-4-1,35.621235,139.379788,042-677-3553,
長池（第1クラブ）,東京都八王子市別所1-45-3,35.61120800000001,139.386438,042-670-3631,
長池（第2クラブ）,東京都八王子市別所1-55,35.610761,139.388441,042-679-4664,
みなみ野（第1クラブ）,東京都八王子市みなみ野1-9-3,35.632163,139.324836,042-635-0014,
みなみ野（第2クラブ）,東京都八王子市みなみ野1-1-1,35.631322,139.33096899999998,042-635-3321,
第十小（第1第2クラブ）,東京都八王子市大和田町7-5-1,35.666201,139.343628,042-644-8744,
元八王子東小（第1第2クラブ）,東京都八王子市叶谷町1521,35.671283,139.304343,042-627-1245,
加住小,東京都八王子市加住町1-170-2,35.70045800000001,139.316116,042-692-0150,
高嶺小（第1第2クラブ）,東京都八王子市北野台4-21-1,35.62840100000001,139.350737,042-637-4146,
七国小（第1第2クラブ）,東京都八王子市七国6-42-1,35.62005999999999,139.321857,042-637-5441,
八木町（第1第2クラブ）,東京都八王子市八木町7-1,35.661662,139.321919,042-626-5234,
由井かたくら,東京都八王子市西片倉1-14-1,35.636571,139.337257,042-636-7784,
第九小（第1第2クラブ）,東京都八王子市中野上町2-14-1,35.670864,139.325107,042-623-4230,
上柚木小,東京都八王子市上柚木3-15,35.615972,139.36891200000002,042-677-6675,
長沼（第1第2クラブ）,東京都八王子市長沼町707-3,35.642471,139.36546,042-636-2479,
中山小,東京都八王子市中山1155,35.62567,139.35844,042-635-4051,
城山（第1クラブ）,東京都八王子市元八王子町2-3351-15,35.662925,139.277923,042-663-6094,
城山（第2クラブ）,東京都八王子市元八王子町2-1767,35.659114,139.277682,042-664-3988,
恩方西（第1第2クラブ）,東京都八王子市下恩方町1369,35.670201,139.25493,042-651-1154,
小宮小（第1第2クラブ）,東京都八王子市小宮町1128-3,35.68370200000001,139.367681,042-645-3223,
楢原小,東京都八王子市楢原町1287-2,35.67557100000001,139.307395,042-626-1788,
弐分方小（第1第2クラブ）,東京都八王子市弐分方町520-1,35.67175200000001,139.288488,042-626-6760,
高倉小,東京都八王子市高倉町67-2,35.662352,139.365746,042-642-8163,
東浅川小,東京都八王子市東浅川町550-22,35.643412,139.28676399999998,042-662-2929,
由木東小（第1第2クラブ）,東京都八王子市東中野1347,35.63344,139.407941,042-677-5086,
子安（第1クラブ）,東京都八王子市子安町1-37-1,35.651381,139.34502,042-648-5643,
子安（第2クラブ）,東京都八王子市子安町2-19-1,35.65015,139.342623,042-644-9939,
椚田小（第1第2クラブ）,東京都八王子市椚田町571-2,35.636654,139.30226000000002,042-666-9649,
椚田小（第3クラブ）,東京都八王子市椚田町554-11,35.636915,139.306318,042-664-2512,
みなみ野君田小（第1第2クラブ）,東京都八王子市みなみ野4-3-1,35.627836,139.325109,042-635-4343,
由木西小,東京都八王子市上柚木538-1,35.623137,139.361401,042-679-0901,
上川口小,東京都八王子市上川町1099,35.705542,139.250072,042-654-0045,
横川（第1第2クラブ）,東京都八王子市横川町296-11,35.668419,139.30674,042-622-6200,
からまつ,東京都八王子市川口町1557-2,35.686642,139.29788200000002,042-654-3908,
第四小（第1第2クラブ）,東京都八王子市明神町2-15-1,35.657994,139.345998,042-646-9990,
山田小（第1第2クラブ）,東京都八王子市山田町1553,35.6468,139.313606,042-662-8281,
