施設名称,所在地,備考,緯度,経度
東品川児童センター,東京都品川区東品川1-34-9,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区東品川1-34-9電話:3472-5806 併設:東品川保育園",35.6191079,139.7459430
北品川児童センター,東京都品川区北品川2-7-21,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区北品川2-7-21 電話:3471-2360併設:北品川保育園",35.6187796,139.7440035
南品川児童センター,東京都品川区南品川4-5-28,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区南品川4-5-28電話:3450-5043",35.6134633,139.7387090
小関児童センター,東京都品川区北品川5-8-15,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区北品川5-8-15電話:3449-1676",35.6195919,139.7326959
三ツ木児童センター,東京都品川区西品川2-6-13,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区西品川2-6-13電話:3491-1005",35.6139821,139.7262033
東五反田児童センター,東京都品川区東五反田5-24-1,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区東五反田5-24-1 電話:3443-1629併設:東五反田保育園",35.6279641,139.7232772
中原児童センター,東京都品川区小山1-4-1,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区小山1-4-1 電話:3492-6119併設:中原保育園",35.6218924,139.7123712
平塚児童センター,東京都品川区平塚2-2-3,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区平塚2-2-3 電話:3786-2228併設:平塚保育園",35.6187860,139.7173311
後地児童センター,東京都品川区小山2-9-19,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区小山2-9-19 電話:3785-5033併設:後地シルバーセンター",35.6206454,139.7092310
中延児童センター,東京都品川区西中延1-6-16,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区西中延1-6-16 電話:3781-9300併設:中延保育園",35.6125593,139.7082896
