X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.641995118015103,35.604516284781532,1,ナオミ保育園分園 りんごの木,保育園,私立保育園,野毛1-25-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033410.html
139.657997197163382,35.602982230821205,2,奥沢西保育園,保育園,区立保育園,奥沢8-4-14, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00126128.html
139.654979077685397,35.596840287589671,3,尾山台保育園,保育園,私立保育園,尾山台1-1-6, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00012869.html
139.665231497316114,35.603244836298082,4,ナオミ保育園分園 ぶどうの木,保育園,私立保育園,奥沢6-19-1, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025982.html
139.655167028597305,35.606348346670934,5,おひさま保育園,保育園,保育室,尾山台3-33-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011807.html
139.666404954388724,35.605901127863071,6,YMCAチャイルドケアセンター,保育園,保育室,奥沢5-41-7, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011808.html
139.648082976946796,35.608073454705824,7,コンビプラザ等々力保育園,保育園,認証保育所,等々力2-32-16,ヴァレーサイドトドロキビル2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011877.html
139.648001910643302,35.607760009915324,8,グリーンヒル奥沢保育園分園グリーンバレー等々力保育園,保育園,私立保育園,等々力2-33-14, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00125110.html
139.647719690828978,35.603357858566319,9,ベビールーム等々力,保育園,認証保育所,等々力１－１９－９, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131244.html
139.675687794673166,35.605245344728566,10,奥沢保育園,保育園,区立保育園,奥沢2-3-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011750.html
