X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.671591848866086,35.60051312581713,1,奥沢子育て児童ひろば,子ども関係施設（その他）,児童館,奥沢4-8-14, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00138570.html
139.594736199487528,35.624731373107409,2,喜多見児童館,子ども関係施設（その他）,児童館,喜多見2-10-40, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007150.html
139.613526532862693,35.622310752293018,3,鎌田児童館,子ども関係施設（その他）,児童館,鎌田3-35-1, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145703.html
139.633043410946158,35.622944912983321,4,玉川台児童館,子ども関係施設（その他）,児童館,玉川台1-6-15, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00131693.html
139.638797786219584,35.616869129907677,5,森の児童館,子ども関係施設（その他）,児童館,上野毛4-29-18, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007135.html
139.653862935299344,35.620177065309157,6,深沢児童館,子ども関係施設（その他）,児童館,深沢4-33-11, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007138.html
139.650007050544104,35.61127372669052,7,等々力児童館,子ども関係施設（その他）,児童館,等々力3-25-16, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007126.html
139.597627602523346,35.634108686442573,8,成城さくら児童館,子ども関係施設（その他）,児童館,成城3-18-23, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007153.html
139.61465542503953,35.638030578802216,9,山野児童館,子ども関係施設（その他）,児童館,砧4-1-7, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007156.html
139.62233189708229,35.644783761974175,10,桜丘児童館,子ども関係施設（その他）,児童館,桜丘5-14-1, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00131993.html
139.642878378665785,35.643056455520679,11,上町児童館,子ども関係施設（その他）,児童館,世田谷2-30-16, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145540.html
139.63005457585237,35.635865397126665,12,上用賀児童館,子ども関係施設（その他）,児童館,上用賀4-14-3,101号,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007141.html
139.64769689469577,35.630832652888927,13,新町児童館,子ども関係施設（その他）,児童館,新町2-23-4,101号,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007144.html
139.651928605259315,35.636977940284318,14,弦巻児童館,子ども関係施設（その他）,児童館,弦巻1-26-11, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007085.html
139.671180238455747,35.634718270935529,15,野沢児童館,子ども関係施設（その他）,児童館,野沢1-8-14, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007092.html
139.596756485351818,35.653585896573055,16,上祖師谷ぱる児童館,子ども関係施設（その他）,児童館,上祖師谷4-5-6, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00145762.html
139.605144953270269,35.662952735150633,17,粕谷児童館,子ども関係施設（その他）,児童館,粕谷4-13-6, ,http://www.city.setagaya.lg.jp/kurashi/103/131/497/1851/d00007123.html
139.606261495760208,35.649673994239087,18,祖師谷児童館,子ども関係施設（その他）,児童館,祖師谷4-28-6,101号,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00147123.html
139.625430694149173,35.654795305083027,19,船橋児童館,子ども関係施設（その他）,児童館,船橋5-17-28, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007147.html
139.641793100178717,35.664407044145108,20,松沢児童館,子ども関係施設（その他）,児童館,赤堤4-37-14, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007108.html
139.656973278156585,35.648623208229779,21,若林児童館,子ども関係施設（その他）,児童館,若林5-18-13, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007082.html
139.661787956886457,35.652612992991699,22,代田南児童館,子ども関係施設（その他）,児童館,代田1-21-11, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007111.html
139.660618831340685,35.662761889319775,23,代田児童館,子ども関係施設（その他）,児童館,代田６－３４－１３, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00124214.html
139.682560364086584,35.646637486853166,24,池尻児童館,子ども関係施設（その他）,児童館,池尻2-3-11, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007077.html
139.601538573663078,35.671723431068173,25,烏山児童館,子ども関係施設（その他）,児童館,南烏山4-26-3, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007114.html
139.625571636685493,35.667398632469251,26,上北沢児童館,子ども関係施設（その他）,児童館,上北沢3-8-9, ,http://www.city.setagaya.lg.jp/shisetsu/1209/1249/d00007117.html
