X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.631213846568244,35.608043275696076,1,たまがわ　いち・にい・さん,子ども関係施設（その他）,子ども・子育て支援,世田谷区玉川1-2-3, ,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152766.html
139.654160571907767,35.604990365040081,2,ほっとスクール「尾山台」,子ども関係施設（その他）,ほっとスクール,尾山台3-19-3, ,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005679.html
139.653302218855089,35.594290305041255,3,玉堤一丁目おでかけひろば,子ども関係施設（その他）,子ども・子育て支援,世田谷区玉堤1-8-5, ,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00153922.html
139.61500690264549,35.618121183014736,4,きぬたまの家（うち）,子ども関係施設（その他）,子ども・子育て支援,鎌田1-19-1-101,せたがや水辺ﾃﾞｻﾞｲﾝﾈｯﾄﾜｰｸ内,http://setagaya-mizubedesign.org/kinutama_uchi.html
139.631352141209646,35.611471458492659,5,教育相談室玉川分室,子ども関係施設（その他）,子ども関係の相談機関,玉川2-1-15, ,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005676.html
139.623911812305579,35.617724608949921,6,ひまわり,子ども関係施設（その他）,子ども・子育て支援,玉川4-16-6,玉川保育園内,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00040023.html
139.638134525576078,35.612607289035623,7,かみのげおでかけひろば,子ども関係施設（その他）,子ども・子育て支援,上野毛1-27-5,清水ビル2階, 
139.63186806266782,35.620451867855756,8,おでかけひろば　まーぶる,こども関係施設（その他）,子ども・子育て支援,世田谷区瀬田2-25-10, ,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152768.html
139.599023807193021,35.640177426088336,9,子育てステーション成城,子ども関係施設（その他）,子ども・子育て支援,成城6-5-34,成城コルティ3階,http://www.city.setagaya.lg.jp/kurashi/103/128/454/d00016017.html
139.600659138039134,35.640787131632287,10,教育相談室砧分室,子ども関係施設（その他）,子ども関係の相談機関,成城6-3-10, ,http://www.city.setagaya.lg.jp/shisetsu/1208/d00005676.html
139.585899624641911,35.638820932163952,11,おでかけひろば FUKU＊fuku,子ども関係施設（その他）,子ども・子育て支援,世田谷区喜多見9-14-15, ,http://www.city.setagaya.lg.jp/kurashi/103/128/449/d00152767.html
139.612958020316881,35.634629073481527,12,発達障害相談・療育センター「げんき」,子ども関係施設（その他）,子ども・子育て支援,大蔵2-10-18,大蔵二丁目複合型子ども支援センター2・3階,http://www.city.setagaya.lg.jp/shisetsu/1224/1353/d00132485.html
