名称,所在地,緯度,経度,電話
栄町児童館,練馬区栄町40-7,35.7394713,139.6710343,03-3994-3287
中村児童館,練馬区中村2-25-3,35.73178056,139.6421563,03-3998-4890
平和台児童館,練馬区平和台2-18-14,35.76007643,139.6615122,03-3933-0297
春日町児童館,練馬区春日町2-28-3,35.75702518,139.6462502,03-3998-8799
北町児童館,練馬区北町1-19-17,35.76411586,139.6678746,03-3931-5481
光が丘児童館,練馬区光が丘1-3-1,35.76774993,139.6391004,03-3975-7137
光が丘なかよし児童館,練馬区光が丘2-9-6,35.75953299,139.630003,03-5997-7720
土支田児童館,練馬区土支田2-32-8,35.76351856,139.6136213,03-3925-4784
南田中児童館,練馬区南田中5-15-25,35.73789985,139.611507,03-3995-5534
三原台児童館,練馬区三原台2-11-29,35.75719653,139.6063417,03-3924-8796
石神井児童館,練馬区石神井町7-28-21,35.74466144,139.5981388,03-3996-3800
石神井台児童館,練馬区石神井台2-18-13,35.73570141,139.5896457,03-3995-8267
上石神井児童館,練馬区上石神井1-5-2,35.72564509,139.5924138,03-3929-0999
関町児童館,練馬区関町南4-15-7-102,35.72268641,139.5722555,03-3920-1601
東大泉児童館,練馬区東大泉7-20-1,35.74246023,139.5770483,03-3921-9128
西大泉児童館,練馬区西大泉3-21-16,35.75966965,139.5788581,03-3924-9537
北大泉児童館,練馬区大泉町4-15-15,35.76306073,139.6001533,03-3921-4856
