名称,所在地,URL,電話番号,FAX,緯度,経度
子ども家庭支援センター「こどものへや」,江戸川区船堀4丁目2番5号　勤労福祉会館内1階,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/kateishien.html,03-3877-2460,03-3877-2461,35.685187,139.8653337
共育プラザ南小岩「子育てひろば」,江戸川区南小岩4丁目5番8号,http://www.city.edogawa.tokyo.jp/plaza_minamikoiwa/index.html,03-3673-2206,03-5693-3296,35.7209228,139.8857753
共育プラザ一之江・子育てひろば,江戸川区一之江3丁目13番7号,http://www.city.edogawa.tokyo.jp/plaza_ichinoe/index.html,03-3652-5911,03-5662-2429,35.6898376,139.8843134
共育プラザ小岩・子育てひろば,江戸川区北小岩2丁目14番17号,http://www.city.edogawa.tokyo.jp/plaza_koiwa/index.html,03-3672-0604,03-5693-3298,35.7400201,139.8848239
共育プラザ平井・子育てひろば,江戸川区平井7丁目21番6号,http://www.city.edogawa.tokyo.jp/plaza_hirai/index.html,03-3618-4031,03-3618-6493,35.7145379,139.8401941
共育プラザ葛西・子育てひろば,江戸川区宇喜田町175番地,http://www.city.edogawa.tokyo.jp/plaza_kasai/index.html,03-3688-8611,03-5674-6243,35.6734073,139.8608207
中央健康サポートセンター・子育てひろば,江戸川区中央4丁目24番19号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/chuo.html,03-5661-2467,03-3655-9925,35.7096535,139.8683087
清新町健康サポートセンター・子育てひろば,江戸川区清新町1丁目3番11号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/seishincho.html,03-3878-1221,03-3878-9847,35.663032,139.8558199
鹿骨健康サポートセンター・子育てひろば,江戸川区鹿骨1丁目55番10号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/shishibone.html,03-3678-8711,03-3678-8714,35.7097145,139.8905373
小松川健康サポートセンター・子育てひろば,江戸川区小松川3丁目6番1号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/komatsugawa.html,03-3683-5531,03-3683-5664,35.6963211,139.8487507
ベーテルひろば（NPO法人）,江戸川区東葛西8-11-33 エストパル1C号室,http://tokyo-bethel.org/,03-3686-8350,03-3686-8350,35.6567322,139.8769016
中葛西子育てひろば,江戸川区中葛西1丁目2番8号　宇喜田ホームズ中庭（1階）,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/hiroba.html,,,35.6689994,139.8681037
臨海らっこルーム,江戸川区臨海町5丁目1番2号　都営臨海町5丁目アパート2号棟1,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/rinkairakko.html,03-3686-2340,,35.6430257,139.8691393
堀江らっこルーム,江戸川区南葛西3丁目16番8号　公社堀江住宅8号棟1階,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/horierakko.html,03-3688-7416,,35.6480173,139.8705514
共育プラザ南篠崎・子育てひろば,江戸川区南篠崎町3丁目12番8号,http://www.city.edogawa.tokyo.jp/plaza_minamishinozaki/index.html,03-3678-8241,03-3679-8385,35.6966719,139.8989531
小岩健康サポートセンター・子育てひろば,江戸川区東小岩3丁目23番3号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/koiwa.html,03-3658-3171,03-3671-5798,35.7338719,139.894124
東部健康サポートセンター・子育てひろば,江戸川区瑞江2丁目5番7号（東部フレンドホール3階）,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/tobu.html,03-3678-6441・6442・6443,03-3678-6444,35.6940377,139.8978703
葛西健康サポートセンター・子育てひろば,江戸川区中葛西3丁目10番1号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/kasai.html,03-3688-0154,03-3878-9834,35.6658143,139.8695256
なぎさ健康サポートセンター・子育てひろば,江戸川区南葛西7丁目1番27号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/nagisa.html,03-5675-2515,03-5675-2519,35.6457363,139.8812814
グリーンパレス,江戸川区松島1丁目38番1号,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/greenpalace.html,03-3653-5151,03-3655-7419,35.7058267,139.8662522
