"ID","緯度","経度","名称","郵便番号","住所,電話番号","予定定員","小学校区","設置形態","基本時間","土曜日・春夏冬休み期間","延長保育","土曜日・春夏冬休み期間","休館日"
1,35.656121,139.297399,長房,193-0824,東京都八王子市長房町341,042-663-6487,70名,長房小学校,児童館併設,下校時～18時30分,8時30分～18時30分,18時30分～19時30分,8時～8時30分・18時30分～19時30分,日曜日・祝日・年末年始（12月29日～1月3日）
2,35.669719,139.292013,元八王子（第1第2クラブ）,193-0822,東京都八王子市弐分方町761,042-625-6493,116名,元八王子小学校,学校敷地内プレハブ,下校時～18時31分,8時30分～18時31分,18時30分～19時31分,8時～8時30分・18時30分～19時31分,日曜日・祝日・年末年始（12月29日～1月4日）
3,35.674575,139.325307,中野,192-0042,東京都八王子市中野山王3-6-27,042-624-9561,70名,中野北小学校,児童館併設,下校時～18時32分,8時30分～18時32分,18時30分～19時32分,8時～8時30分・18時30分～19時32分,日曜日・祝日・年末年始（12月29日～1月5日）
4,35.645793,139.356297,北野（第1第2クラブ）,192-0911,東京都八王子市打越町348-1,042-645-8588,120名,由井第一小学校,学校敷地内プレハブ,下校時～18時33分,8時30分～18時33分,18時30分～19時33分,8時～8時30分・18時30分～19時33分,日曜日・祝日・年末年始（12月29日～1月6日）
5,35.692682,139.282172,川口（第1第2クラブ）,193-0801,東京都八王子市川口町3974,042-654-4758,120名,川口小学校,児童館併設,下校時～18時34分,8時30分～18時34分,18時30分～19時34分,8時～8時30分・18時30分～19時34分,日曜日・祝日・年末年始（12月29日～1月7日）
6,35.629367,139.384379,由木（第1第2クラブ）,192-0361,東京都八王子市越野692-1,042-676-8733,120名,由木中央小学校,児童館併設,下校時～18時35分,8時30分～18時35分,18時30分～19時35分,8時～8時30分・18時30分～19時35分,日曜日・祝日・年末年始（12月29日～1月8日）
7,35.639243,139.28184,浅川（第1第2クラブ）,193-0845,東京都八王子市初沢町1323,042-665-2539,120名,浅川小学校,児童館併設,下校時～18時36分,8時30分～18時36分,18時30分～19時36分,8時～8時30分・18時30分～19時36分,日曜日・祝日・年末年始（12月29日～1月9日）
8,35.642337,139.327783,由井（第1第2クラブ）,193-0934,東京都八王子市小比企町1201,042-635-4762,110名,由井第三小学校,学校敷地内プレハブ,下校時～18時37分,8時30分～18時37分,18時30分～19時37分,8時～8時30分・18時30分～19時37分,日曜日・祝日・年末年始（12月29日～1月10日）
9,35.652769,139.298019,横山（第1第2クラブ）,193-0824,東京都八王子市長房町450,042-661-1299,96名,横山第二小学校,学校外施設,下校時～18時38分,8時30分～18時38分,18時30分～19時38分,8時～8時30分・18時30分～19時38分,日曜日・祝日・年末年始（12月29日～1月11日）
10,35.684822,139.283955,上壱分方（第1第2クラブ）,193-0811,東京都八王子市上壱分方町799-2,042-652-1891,103名,上壱分方小学校,学校余裕教室,下校時～18時39分,8時30分～18時39分,18時30分～19時39分,8時～8時30分・18時30分～19時39分,日曜日・祝日・年末年始（12月29日～1月12日）
11,35.655327,139.332232,寺町（第1第2クラブ）,192-0073,東京都八王子市寺町29-15,042-628-5345,120名,第三小学校,学校敷地内専用施設,下校時～18時40分,8時30分～18時40分,18時30分～19時40分,8時～8時30分・18時30分～19時40分,日曜日・祝日・年末年始（12月29日～1月13日）
12,35.622562,139.306264,寺田（第1クラブ）,193-0943,東京都八王子市寺田町432-102,042-665-7187,70名,緑ヶ丘小学校,学校外施設,下校時～18時41分,8時30分～18時41分,18時30分～19時41分,8時～8時30分・18時30分～19時41分,日曜日・祝日・年末年始（12月29日～1月14日）
13,35.622548,139.309986,寺田（第2クラブ）,193-0943,東京都八王子市寺田町405-5,042-666-6620,70名,緑ヶ丘小学校,学校敷地内プレハブ,下校時～18時42分,8時30分～18時42分,18時30分～19時42分,8時～8時30分・18時30分～19時42分,日曜日・祝日・年末年始（12月29日～1月15日）
14,35.656985,139.324022,台町（第1第2クラブ）,193-0931,東京都八王子市台町4-2-1,042-627-7246,131名,第七小学校,学校敷地内専用施設,下校時～18時43分,8時30分～18時43分,18時30分～19時43分,8時～8時30分・18時30分～19時43分,日曜日・祝日・年末年始（12月29日～1月16日）
15,35.623113,139.401747,秋葉台（第1クラブ）,192-0363,東京都八王子市別所2-12-4,042-677-8358,60名,秋葉台小学校,学校外施設,下校時～18時44分,8時30分～18時44分,18時30分～19時44分,8時～8時30分・18時30分～19時44分,日曜日・祝日・年末年始（12月29日～1月17日）
16,35.624666,139.406619,秋葉台（第2クラブ）,192-0363,東京都八王子市別所2-5,042-676-1990,70名,秋葉台小学校,学校敷地内プレハブ,下校時～18時45分,8時30分～18時45分,18時30分～19時45分,8時～8時30分・18時30分～19時45分,日曜日・祝日・年末年始（12月29日～1月18日）
17,35.609464,139.367576,宮上,192-0364,東京都八王子市南大沢5-20-11,042-677-4200,67名,宮上小学校,学校外施設,下校時～18時46分,8時30分～18時46分,18時30分～19時46分,8時～8時30分・18時30分～19時46分,日曜日・祝日・年末年始（12月29日～1月19日）
18,35.633018,139.426711,鹿島,192-0353,東京都八王子市鹿島2,042-675-0158,70名,鹿島小学校,児童館併設,下校時～18時47分,8時30分～18時47分,18時30分～19時47分,8時～8時30分・18時30分～19時47分,日曜日・祝日・年末年始（12月29日～1月20日）
19,35.629348,139.413932,松が谷,192-0354,東京都八王子市松が谷13,042-675-0161,70名,松が谷小学校,児童館併設,下校時～18時48分,8時30分～18時48分,18時30分～19時48分,8時～8時30分・18時30分～19時48分,日曜日・祝日・年末年始（12月29日～1月21日）
20,35.62827,139.287671,館ヶ丘,193-0944,東京都八王子市館町1097-57,042-665-5239,70名,館小学校,児童館併設,下校時～18時49分,8時30分～18時49分,18時30分～19時49分,8時～8時30分・18時30分～19時49分,日曜日・祝日・年末年始（12月29日～1月22日）
21,35.615738,139.394707,別所,192-0363,東京都八王子市別所2-42-7,042-677-7755,70名,別所小学校,学校外施設,下校時～18時50分,8時30分～18時50分,18時30分～19時50分,8時～8時30分・18時30分～19時50分,日曜日・祝日・年末年始（12月29日～1月23日）
