項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
1,子育て・教育,地域型保育事業,家庭福祉員 志村純子,東村山市栄町3-11-20,35.746678,139.467814,042-393-0334,2台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/fukushi-shimura/index.html
2,子育て・教育,地域型保育事業,家庭福祉員 田中浩美,東村山市久米川町2-41-20,35.765364,139.483095,042-397-9998,1台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/fukushi-tanaka/index.html
3,子育て・教育,地域型保育事業,ニチイキッズ東村山保育園,東村山市栄町3-5-11プロスパートウマ１階,35.748976,139.467074,042-390-0072,3台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/nichiikid/index.html
4,子育て・教育,地域型保育事業,りんごっこ駅前保育園,東村山市野口町1-2-3,35.762319,139.465661,042-397-1381,2台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/ringokkoekimahoikuen/index.html
5,子育て・教育,地域型保育事業,りんごっこ久米川駅前保育園,東村山市栄町1-10-1,35.748587,139.474278,042-313-0135,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/ringokko-kume/index.html
6,子育て・教育,地域型保育事業,みゆき保育所,東村山市秋津町5-4-13,35.780171,139.494231,042-313-3337,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/miyukihoikujyo/index.html
7,子育て・教育,地域型保育事業,せいしん保育室　Bee On Clover(ビーオンクローバー),東村山市野口町1-46　ワンズタワー2階,35.759951,139.465308,042-306-0181,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/seisinhoikushitsu/index.html
8,子育て・教育,地域型保育事業,しんあきつ保育園,東村山市秋津町5-12-65,35.64379,139.29376,042-306-4331,無し,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/shinakitsu/index.html
9,子育て・教育,地域型保育事業,ことり保育室,東村山市野口町3-13-15,35.763471,139.454998,042-393-2053,5～6台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/kotorihoikushitu/index.html
10,子育て・教育,地域型保育事業,こひつじ園,東村山市青葉町3-9-33,35.767852,139.495141,042-394-9628,7台,,,http://www/city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/kohituzien/index.html
