項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
1,子育て・教育,児童クラブ,第1化成児童クラブ,東村山市諏訪町1-4-1,35.76566,139.464662,042-393-9999,,,,
2,子育て・教育,児童クラブ,第2化成児童クラブ,東村山市諏訪町1-4-31,35.765386,139.464660,042-393-9210,,,,
3,子育て・教育,児童クラブ,第1・第2萩山児童クラブ,東村山市萩山町4-16-5,35.743053,139.478556,042-397-1157,,,,
4,子育て・教育,児童クラブ,南台児童クラブ,東村山市富士見町1-16-1,35.744533,139.456441,042-392-2863,,,,
5,子育て・教育,児童クラブ,第1・第2青葉児童クラブ,東村山市青葉町2-35-11,35.765650,139.488814,042-397-1155,,,,
6,子育て・教育,児童クラブ,第1・第2東萩山児童クラブ,東村山市萩山町5-7-1,35.74569,139.478541,042-394-1242,,,,
7,子育て・教育,児童クラブ,第1久米川児童クラブ,東村山市久米川町4-11-19,35.761727,139.472977,042-395-2002,,,,
8,子育て・教育,児童クラブ,第2久米川児童クラブ,東村山市久米川町4-11-22,35.762164,139.473026,042-395-9116,,,,
9,子育て・教育,児童クラブ,第1回田児童クラブ,東村山市廻田町3-12-6,35.757562,139.447583,042-395-4065,,,,
10,子育て・教育,児童クラブ,第2回田児童クラブ,東村山市廻田町3-28-1回田小学校内,35.758924,139.446011,042-395-2006,,,,
11,子育て・教育,児童クラブ,第1・第2秋津東児童クラブ,東村山市秋津町4-35-68,35.774659,139.489317,042-393-5175,,,,
12,子育て・教育,児童クラブ,第1・第2野火止児童クラブ,東村山市恩多町5-45-4,35.756782,139.487013,042-397-1156,,,,
13,子育て・教育,児童クラブ,久米川東児童クラブ,東村山市久米川町2-44-3,35.766246,139.481461,042-395-1172,,,,
14,子育て・教育,児童クラブ,富士見児童クラブ,東村山市富士見町5-4-56,35.747267,139.457971,042-394-5396,,,,
