項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
1,子育て・教育,認可保育所,市立第一保育園,東村山市本町4-15-16,35.753339,139.473406,042-395-8955,6台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/daiichihoikuen/index.html
2,子育て・教育,認可保育所,市立第二保育園,東村山市萩山町1-36-1,35.737546,139.483433,042-341-1507,5台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/daiichihoikuen/index.html
3,子育て・教育,認可保育所,市立第三保育園,東村山市多摩湖1-23-4,35.763704,139.45216,042-394-5800,無し,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/daisanhoikuen/index.html
4,子育て・教育,認可保育所,市立第四保育園,東村山市美住町1-4-19,35.749277,139.464847,042-394-1211,6台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/daiyonhoikuen/index.html
5,子育て・教育,認可保育所,市立第五保育園,東村山市秋津町4-25-15,35.779283,139.48512,042-394-1452,3台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/daigohoikuen/index.html
6,子育て・教育,認可保育所,市立第六保育園,東村山市久米川町4-4-10,35.761185,139.47215,042-395-3711,3台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/dairokuhoikuen/index.html
7,子育て・教育,認可保育所,市立第七保育園,東村山市栄町1-36-51,35.752597,139.477225,042-394-6267,4台,,,http://www.city.higashimurayama.tokyo.jp/kosodate/kyouikuhoikushisetsu/hoikujyo/shisetsuichiran/kouritsuhoikujyo/dainanahoikuen/index.html
8,子育て・教育,認可保育所,私立つぼみ保育園,東村山市富士見町2-2-2,35.744922,139.451777,042-393-6400,3台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/tsubomihoikuen/index.html
9,子育て・教育,認可保育所,私立久米川保育園,東村山市萩山町5-6-1,35.746978,139.479416,042-394-4032,4台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/kumegawahoikuen/index.html
10,子育て・教育,認可保育所,私立花さき保育園,東村山市青葉町4-1-1,35.763056,139.497122,042-394-9976,9台,,,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/hoikushisetsu/hanasakihoikuen/index.html
