市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
132217,,東京都,清瀬市,清瀬市立う梅園第1第2第3学童クラブ,キヨセシリツウメゾノダイイチダイニダイサンガクドウクラブ,,東京都清瀬市梅園2-9-38,,35.771999,139.505174,,,042-492-5606,,,,清瀬市,,100,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立清明小第1第2学童クラブ,キヨセシリツセイメイショウダイイチダイニガクドウクラブ,,東京都清瀬市旭が丘2-8-1　,清明小学校校舎内,35.796885,139.539993,,,042-492-5602,,,,清瀬市,,70,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立四小学童クラブ,キヨセシリツヨンショウガクドウクラブ,,東京都清瀬市中里2-1471,,35.783236,139.510435,,,042-492-3955,,,,清瀬市,,60,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立八小第1第2学童クラブ,キヨセシリツハチショウダイイチダイニガクドウクラブ,,東京都清瀬市中清戸4-1070,第八小学校校舎内,35.787303,139.530847,,,042-492-5535,,,,清瀬市,,70,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立竹丘第1第２学童クラブ,キヨセシリツタケオカダイイチダイニガクドウクラブ,,東京都清瀬市竹丘1-15-11,,35.767616,139.511404,,,042-492-6767,,,,清瀬市,,60,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立芝山小第1第2学童クラブ,キヨセシリツシバヤマショウショウダイイチダイニガクドウクラブ,,東京都清瀬市元町2-16-8,芝山小学校校舎内,35.775359,139.511204,,,042-491-0878,,,,清瀬市,,75,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立清瀬小第1第2学童クラブ,キヨセシリツキヨセショウダイイチダイニガクドウクラブ,,東京都清瀬市中里5-741,清瀬小学校校舎内,35.785211,139.525606,,,042-493-5408,,,,清瀬市,,90,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立三小第1第2学童クラブ,キヨセシリツサンメイショウダイイチダイニガクドウクラブ,,東京都清瀬市竹丘1-15-4,第三小学校校舎内,35.768568,139.509927,,,042-492-5622,,,,清瀬市,,70,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立中清戸第1第2学童クラブ,キヨセシリツナカキウヨトショウダイイチダイニガクドウクラブ,,東京都清瀬市中清戸1-556-1,,35.775051,139.528458,,,042-493-3940,,,,清瀬市,,40,小学校1年生～6年生,月火水木金土,,,通常下校時間～18：15。また、三季休業日は8：30～18：00。,無,,
132217,,東京都,清瀬市,清瀬市立十小学童クラブ,キヨセシリツジュウショウガクドウクラブ,,東京都中清戸1-454-14,第十小学校校舎内,35.775148,139.527536,,,042-493-4350,,,,,,,,,,,,,,
