No,施設名称,所在地,連絡先,緯度,経度
1,さいかち学童クラブ（さいかち地区児童館内）,東京都武蔵村山市緑が丘１４６0,042-565-0758,35.74377366,139.4057509
2,雷塚学童クラブ（雷塚小学校敷地内）,東京都武蔵村山市学園４‐６‐２,042-564-1666,35.7462351,139.402201
3,大南学童クラブ（大南地区児童館）,東京都武蔵村山市大南５‐１‐６９,042-562-3242,35.7356643,139.4058927
4,山王森学童クラブ（山王森児童館内）,東京都武蔵村山市三ツ藤３‐６‐１0,042-560-3037,35.7557664,139.3718201
5,中藤学童クラブ（中藤地区児童館内）,東京都武蔵村山市中藤３‐１６,042-565-0111,35.7569449,139.4005981
6,残堀・伊奈平学童クラブ第一・第二（残堀・伊奈平地区児童館内）,東京都武蔵村山市残堀１‐６0‐３,042-560-0770,35.7462565,139.3751507
7,三ツ木学童クラブ（第二小学校内）,東京都武蔵村山市三ツ木２‐１２‐２,042-560-5198,35.7577968,139.3738893
8,西大南学童クラブ第一・第二（第七小学校内）,東京都武蔵村山市大南２‐７８‐１,042-562-8761,35.7398998,139.4017096
9,中原学童クラブ（第十小学校内）,東京都武蔵村山市残堀５‐１00‐１,042-560-0803,35.7530166,139.3667068
10,学園学童クラブ（第九小学校内）,東京都武蔵村山市学園１‐８５‐１,042-567-0508,35.7479708,139.3941767
11,本町学童クラブ（第一小学校内）,東京都武蔵村山市本町１‐１‐１１,042-561-7905,35.7546976,139.3880798
