#子育て・認定こども園・東京都認証保育所・幼稚園・学童クラブ・児童館・子育て支援
No,施設名,カテゴリ,所在地,方書,郵便番号,電話番号,開所時刻,閉所時刻,備考,緯度（施設出入口）,経度（施設出入口）,緯度（施設中心）,経度（施設中心）
173,稲城市立第三保育園,子育て,稲城市坂浜1012番地の2,,2060822,042-331-0802,7:00,19:00,,35.622436,139.484959,35.622479,139.485152
174,稲城市立第四保育園,子育て,稲城市大丸607番地の2,,2060801,042-377-5258,7:00,19:00,,35.646625,139.493758,35.646566,139.493807
175,稲城市立第五保育園,子育て,稲城市平尾1187番地の3,,2060823,042-331-3817,7:00,19:00,,35.611786,139.486585,35.611844,139.486767
176,稲城市立第六保育園,子育て,稲城市大丸82番地の4,,2060801,042-377-6249,7:00,19:00,,35.645424,139.499516,35.645356,139.499536
177,私立ひらお保育園,子育て,稲城市平尾三丁目1番地の23,,2060823,042-331-5019,7:00,19:00,,35.610281,139.487658,35.610324,139.48728
178,私立松葉保育園,子育て,稲城市矢野口2065番地,,2060812,042-377-3184,7:00,19:00,,35.634307,139.520695,35.63444,139.520835
179,私立向陽台保育園,子育て,稲城市向陽台五丁目8番地,,2060803,042-378-7790,7:00,19:00,,35.638038,139.486073,35.638073,139.486099
180,私立城山保育園,子育て,稲城市向陽台六丁目4番地,,2060803,042-378-4680,7:00,20:00,,35.641923,139.492766,35.641874,139.492815
181,私立もみの木保育園長峰,子育て,稲城市長峰二丁目10番地,,2060821,042-331-7505,7:00,19:00,,35.630388,139.482199,35.630308,139.48209
182,私立若葉台バオバブ保育園,子育て,稲城市若葉台四丁目17番地,,2060824,042-331-6258,7:00,19:00,,35.627759,139.468783,35.627637,139.468882
183,私立もみの木保育園若葉台,子育て,稲城市若葉台一丁目54番地,,2060824,042-350-6300,7:00,19:00,,35.62468,139.475318,35.624664,139.475457
184,私立中島ゆうし保育園,子育て,稲城市矢野口256番地,,2060812,042-377-3725,7:00,19:00,,35.642503,139.519324,35.642798,139.519152
185,私立城山保育園南山,子育て,稲城市百村1461番地の1,,2060804,042-401-6442,7:00,20:00,,35.631964,139.503311,35.632077,139.503434
186,私立本郷ゆうし保育園,子育て,稲城市東長沼2115番地の2,,2060802,042-401-6951,7:00,19:00,,35.637897,139.501378,35.637874,139.50124
187,子どもの森（チャイルドケアセンター）,認定こども園,稲城市矢野口1759番地,,2060812,042-370-2880,7:30,18:30,,35.635837,139.517786,35.635778,139.517861
188,子どもの森（矢の口幼稚園長時間保育）,認定こども園,稲城市矢野口1753番地,,2060812,042-377-7654,7:30,18:30,,35.636027,139.517947,35.636014,139.518285
189,ピノキオ幼児舎稲城園,東京都認証保育所,稲城市東長沼3107番地の1,2階,2060802,042-379-1880,7:00,20:00,,35.636879,139.500499,35.636946,139.500638
190,稲城雲母（きらら）保育園,東京都認証保育所,稲城市大丸1025番地の3,,2060801,042-379-7720,7:00,21:00,,35.649022,139.489589,35.648925,139.489609
191,アスクやのくち保育園,東京都認証保育所,稲城市矢野口387番地の1,1階,2060812,042-370-7521,7:30,22:00,日曜祝祭日は8:00から18:00まで,35.641292,139.522045,35.641322,139.522089
192,ラフ・クルー若葉台保育園,東京都認証保育所,稲城市若葉台二丁目4番地の4,1階,2060824,042-350-1179,7:00,20:30,,35.620126,139.471684,35.62026,139.471561
193,メリーポピンズ稲城ルーム,東京都認証保育所,稲城市百村1623番地の1,,2060804,042-377-2416,7:00,20:00,,35.635819,139.501449,35.635637,139.501429
194,保育ルームフェリーチェ稲城長沼園,東京都認証保育所,稲城市東長沼566番地の1,,2060802,042-379-1158,7:30,21:00,,35.644608,139.50393,35.644666,139.503868
195,京王キッズプラッツよみうりランド,東京都認証保育所,稲城市矢野口4015番地の1,,2060812,042-378-5007,7:00,20:00,,35.632261,139.517109,35.632262,139.51718
196,私立青葉幼稚園,幼稚園,稲城市矢野口645番地,,2060812,042-378-1217,8:30,14:00,,35.639482,139.519185,35.639545,139.519592
197,私立コマクサ幼稚園,幼稚園,稲城市大丸68番地の1,,2060801,042-377-1454,8:50,14:00,延長保育は16:30まで,35.642683,139.498813,35.64276,139.498744
198,私立駒沢女子短期大学付属こまざわ幼稚園,幼稚園,稲城市向陽台三丁目3番地,,2060803,042-378-6966,9:00,14:00,延長保育は17:00まで,35.637587,139.486569,35.637472,139.486632
199,私立はなぶさ幼稚園,幼稚園,稲城市平尾二丁目9番地の11,,2060823,042-331-1711,9:00,14:00,,35.609399,139.4966,35.609262,139.496391
200,私立平尾わかば幼稚園,幼稚園,稲城市平尾三丁目7番地の5,,2060823,042-331-5511,8:30,14:00,預かり保育は17:30まで,35.608389,139.489399,35.608739,139.489491
201,私立矢の口幼稚園,幼稚園,稲城市矢野口1753番地,,2060812,042-377-7654,9:00,13:30,,35.636027,139.517947,35.636014,139.518285
202,私立梨花幼稚園,幼稚園,稲城市押立392番地,,2060811,042-377-6807,8:30,17:00,預かり保育は18:00まで,35.650101,139.509016,35.649786,139.509178
203,稲城市第二文化センター学童クラブ,学童クラブ,稲城市矢野口1780番地,第二文化センター内,2060812,042-379-9573,学校下校時,19:00,,35.635101,139.518499,35.635227,139.51843
204,稲城市第四文化センター学童クラブ,学童クラブ,稲城市東長沼271番地,第四文化センター内,2060802,042-377-4406,学校下校時,18:00,,35.645856,139.505532,35.64592,139.505379
205,稲城市第一小学校学童クラブ,学童クラブ,稲城市東長沼956番地,第一小学校内,2060802,042-379-5606,学校下校時,19:00,,35.640775,139.511926,35.640727,139.511737
206,稲城市第二小学校学童クラブ,学童クラブ,稲城市坂浜590番地,第二小学校内,2060822,042-331-5774,学校下校時,18:00,,35.625187,139.486135,35.625107,139.485314
207,稲城市第四小学校学童クラブ,学童クラブ,稲城市押立1250番地,第四小学校内,2060811,042-377-9076,学校下校時,18:00,,35.644451,139.516799,35.644699,139.516232
208,稲城市第六小学校学童クラブ,学童クラブ,稲城市大丸2110番地,第六小学校内,2060801,042-378-8711,学校下校時,18:00,,35.649514,139.498798,35.649522,139.498798
209,稲城市向陽台小学校学童クラブ,学童クラブ,稲城市向陽台三丁目2番地,向陽台小学校内,2060803,042-378-5990,学校下校時,18:00,,35.636926,139.4872,35.636932,139.487257
210,稲城市城山小学校学童クラブ,学童クラブ,稲城市向陽台六丁目17番地,城山小学校内,2060803,042-379-5100,学校下校時,18:00,,35.642397,139.493724,35.64274,139.493131
211,稲城市長峰小学校学童クラブ,学童クラブ,稲城市長峰二丁目8番地,長峰小学校内,2060821,042-331-4151,学校下校時,18:00,,35.630114,139.483427,35.629414,139.482022
212,稲城市若葉台小学校学童クラブ,学童クラブ,稲城市若葉台四丁目5番地,若葉台小学校内,2060824,042-331-9590,学校下校時,18:00,,35.626535,139.467308,35.626468,139.46728
213,稲城市平尾小学校学童クラブ,学童クラブ,稲城市平尾三丁目1番地の3,平尾小学校内,2060823,042-331-4700,学校下校時,18:00,,35.61015,139.489235,35.610117,139.489204
214,稲城市南山小学校学童クラブ,学童クラブ,稲城市矢野口3635番地,,2060812,042-378-2287,学校下校時,19:00,,35.62875,139.509069,35.628745,139.50893
215,学童クラブ矢野口こどもクラブ,学童クラブ,稲城市矢野口853番地の1,,2060812,042-377-0201,学校下校時,19:00,,35.641954,139.514735,35.641918,139.51471
216,学童クラブ子どもの森,学童クラブ,稲城市矢野口1761番地（第二文化センター向かい）,,2060812,042-379-8500,学校下校時,19:00,,35.635446,139.518097,35.635428,139.518033
217,本郷学童クラブ,学童クラブ,稲城市東長沼2115番地の2,,2060802,042-370-3200,学校下校時,19:00,,35.637928,139.501204,35.637874,139.50124
218,本郷児童館,児童館,稲城市東長沼2115番地の2,,2060802,042-378-6500,9:00,17:00,,35.637928,139.501204,35.637874,139.50124
219,稲城市立第二児童館,児童館,稲城市矢野口1780番地,第二文化センター内,2060812,042-379-9573,9:00,17:00,,35.63516,139.518297,35.635227,139.51843
220,稲城市立第三児童館,児童館,稲城市平尾一丁目20番地の5,第三文化センター内,2060823,042-331-0230,9:00,17:00,,35.61305,139.492409,35.613093,139.492465
221,稲城市立第四児童館,児童館,稲城市東長沼271番地,第四文化センター内,2060802,042-377-4406,9:00,17:00,,35.645941,139.505467,35.64592,139.505379
222,稲城市立城山児童館,児童館,稲城市向陽台六丁目7番地,城山文化センター内,2060803,042-379-5411,9:00,17:00,,35.641375,139.490953,35.641387,139.490825
223,稲城市子ども家庭支援センター,子育て支援,稲城市向陽台三丁目2番地,向陽台小学校内,2060803,042-370-0106,8:30,17:15,,35.63676,139.487321,35.63682,139.487343
224,稲城市子ども家庭支援センター本郷分室,子育て支援,稲城市東長沼2115番地の2,3階,2060802,042-378-6366,8:30,17:15,,35.637928,139.501204,35.637874,139.50124
